i;t;s;bs;T;
1;0.018;4784.7;inf;100;
2;0.036;4784.7;inf;100;
3;0.129;4638.01;4638.01;100;
4;0.218;4597.91;4597.91;100;
5;0.31;4547.5;4547.5;100;
6;0.404;4491.17;4491.17;100;
7;0.501;4491.14;4491.14;100;
8;0.593;4483.97;4483.97;100;
9;0.615;4483.97;4483.97;100;
10;0.709;4235.68;4235.68;100;
11;0.729;4235.99;4235.68;100;
12;0.819;4162.87;4162.87;100;
13;0.912;4126.58;4126.58;100;
14;1;4075.49;4075.49;100;
15;1.09;3991.63;3991.63;100;
16;1.179;3800.6;3800.6;100;
17;1.278;3800.3;3800.3;100;
18;1.294;3800.3;3800.3;100;
19;1.384;3781.8;3781.8;100;
20;1.474;3781.13;3781.13;100;
21;1.563;3739.51;3739.51;100;
22;1.657;3739.23;3739.23;100;
23;1.751;3732.54;3732.54;100;
24;1.768;3733.88;3732.54;100;
25;1.788;3733.88;3732.54;100;
26;1.813;3735.42;3732.54;100;
27;1.828;3737.15;3732.54;100;
28;1.848;3737.15;3732.54;100;
29;1.943;3730.66;3730.66;100;
30;2.032;3720.22;3720.22;100;
31;2.123;3718.36;3718.36;100;
32;2.214;3689.15;3689.15;100;
33;2.306;3682.2;3682.2;100;
34;2.398;3680.48;3680.48;100;
35;2.415;3680.48;3680.48;100;
36;2.508;3635.72;3635.72;100;
37;2.595;3634.76;3634.76;100;
38;2.613;3651.21;3634.76;100;
39;2.627;3651.21;3634.76;100;
40;2.644;3652.94;3634.76;100;
41;2.66;3655.43;3634.76;100;
42;2.678;3653.43;3634.76;100;
43;2.691;3654.9;3634.76;100;
44;2.711;3651.39;3634.76;100;
45;2.799;3605.97;3605.97;100;
46;2.887;3596.64;3596.64;100;
47;2.977;3473.68;3473.68;100;
48;3.063;3464.11;3464.11;100;
49;3.078;3464.11;3464.11;100;
50;3.167;3459.48;3459.48;100;
51;3.258;3453.42;3453.42;100;
52;3.272;3453.42;3453.42;100;
53;3.291;3456;3453.42;100;
54;3.384;3410.39;3410.39;100;
55;3.399;3410.39;3410.39;100;
56;3.49;3407.81;3407.81;100;
57;3.506;3407.81;3407.81;100;
58;3.523;3407.81;3407.81;100;
59;3.61;3383.36;3383.36;100;
60;3.697;3381.63;3381.63;100;
61;3.789;3379.95;3379.95;100;
62;3.882;3372.95;3372.95;100;
63;3.973;3362.05;3362.05;100;
64;4.062;3354.2;3354.2;100;
65;4.078;3354.67;3354.2;100;
66;4.096;3354.67;3354.2;100;
67;4.112;3355.11;3354.2;100;
68;4.2;3352.79;3352.79;100;
69;4.216;3352.79;3352.79;100;
70;4.308;3303.94;3303.94;100;
71;4.395;3295.88;3295.88;100;
72;4.41;3295.88;3295.88;100;
73;4.427;3295.88;3295.88;100;
74;4.444;3298.2;3295.88;90;
75;4.46;3297.06;3295.88;90;
76;4.476;3297.06;3295.88;90;
77;4.493;3296.71;3295.88;90;
78;4.578;3294.6;3294.6;90;
79;4.669;3203.94;3203.94;90;
80;4.758;3201.07;3201.07;90;
81;4.848;3182.98;3182.98;90;
82;4.937;3181.05;3181.05;90;
83;4.953;3181.05;3181.05;90;
84;5.041;3173.95;3173.95;90;
85;5.129;3171.62;3171.62;90;
86;5.218;3165.56;3165.56;90;
87;5.241;3165.56;3165.56;90;
88;5.334;3141.31;3141.31;90;
89;5.352;3141.72;3141.31;90;
90;5.443;3136.72;3136.72;90;
91;5.463;3137.43;3136.72;90;
92;5.481;3136.72;3136.72;90;
93;5.571;3100.44;3100.44;90;
94;5.662;3097.77;3097.77;90;
95;5.685;3097.77;3097.77;90;
96;5.699;3097.77;3097.77;90;
97;5.721;3099.28;3097.77;90;
98;5.74;3099.28;3097.77;90;
99;5.763;3099.36;3097.77;90;
100;5.857;3095.8;3095.8;90;
101;5.873;3095.8;3095.8;90;
102;5.889;3119.98;3095.8;90;
103;5.908;3119.98;3095.8;90;
104;5.927;3119.98;3095.8;90;
105;5.946;3124.98;3095.8;90;
106;5.967;3124.98;3095.8;90;
107;5.985;3100.8;3095.8;90;
108;6.005;3102.11;3095.8;90;
109;6.022;3102.11;3095.8;90;
110;6.045;3106.9;3095.8;90;
111;6.062;3111.74;3095.8;90;
112;6.076;3111.66;3095.8;90;
113;6.098;3111.75;3095.8;90;
114;6.115;3113.88;3095.8;90;
115;6.133;3109.78;3095.8;90;
116;6.15;3112.46;3095.8;90;
117;6.168;3098.65;3095.8;90;
118;6.191;3100.66;3095.8;90;
119;6.21;3100.05;3095.8;90;
120;6.233;3105.67;3095.8;90;
121;6.256;3100.09;3095.8;90;
122;6.27;3105.67;3095.8;90;
123;6.291;3103.66;3095.8;90;
124;6.307;3103.66;3095.8;90;
125;6.329;3103.72;3095.8;90;
126;6.349;3106.12;3095.8;90;
127;6.368;3106.12;3095.8;90;
128;6.389;3100.54;3095.8;90;
129;6.408;3100.45;3095.8;90;
130;6.427;3100.45;3095.8;90;
131;6.451;3100.48;3095.8;90;
132;6.477;3100.48;3095.8;90;
133;6.5;3096.58;3095.8;90;
134;6.518;3102.15;3095.8;90;
135;6.533;3106.06;3095.8;90;
136;6.551;3106.72;3095.8;90;
137;6.641;3052.33;3052.33;90;
138;6.66;3053.2;3052.33;90;
139;6.748;3049.28;3049.28;90;
140;6.768;3052.29;3049.28;81;
141;6.859;3033.3;3033.3;81;
142;6.949;3029.21;3029.21;81;
143;7.042;3028.87;3028.87;81;
144;7.131;3028.87;3028.87;81;
145;7.216;3024.96;3024.96;81;
146;7.241;3041.73;3024.96;81;
147;7.256;3041.73;3024.96;81;
148;7.275;3036.43;3024.96;81;
149;7.293;3033.34;3024.96;81;
150;7.317;3033.6;3024.96;81;
151;7.338;3033.6;3024.96;81;
152;7.357;3030.71;3024.96;81;
153;7.376;3030.44;3024.96;81;
154;7.39;3030.44;3024.96;81;
155;7.41;3030.44;3024.96;81;
156;7.43;3029.7;3024.96;81;
157;7.448;3030.64;3024.96;81;
158;7.465;3030.64;3024.96;81;
159;7.482;3030.64;3024.96;81;
160;7.502;3030.61;3024.96;81;
161;7.52;3034.51;3024.96;81;
162;7.538;3034.52;3024.96;81;
163;7.555;3034.49;3024.96;81;
164;7.641;3017.72;3017.72;81;
165;7.658;3017.72;3017.72;81;
166;7.675;3018.18;3017.72;81;
167;7.693;3024.46;3017.72;81;
168;7.709;3024.46;3017.72;81;
169;7.727;3024.46;3017.72;81;
170;7.744;3024.46;3017.72;81;
171;7.762;3024.53;3017.72;81;
172;7.778;3024.53;3017.72;81;
173;7.797;3024.53;3017.72;81;
174;7.812;3024.46;3017.72;81;
175;7.828;3024.49;3017.72;81;
176;7.847;3023.23;3017.72;81;
177;7.861;3022.9;3017.72;81;
178;7.878;3022.93;3017.72;81;
179;7.893;3022.9;3017.72;81;
180;7.909;3022.87;3017.72;81;
181;7.923;3018.97;3017.72;81;
182;7.94;3019.07;3017.72;81;
183;7.955;3018.98;3017.72;81;
184;7.972;3018.98;3017.72;81;
185;7.986;3018.88;3017.72;81;
186;8.075;3013.82;3013.82;81;
187;8.09;3013.82;3013.82;81;
188;8.106;3013.82;3013.82;81;
189;8.12;3013.82;3013.82;81;
190;8.205;2984.02;2984.02;81;
191;8.293;2983.3;2983.3;81;
192;8.379;2978.36;2978.36;81;
193;8.397;2980.08;2978.36;81;
194;8.483;2977.07;2977.07;81;
195;8.498;2981.72;2977.07;81;
196;8.515;2981.83;2977.07;81;
197;8.531;2982.55;2977.07;81;
198;8.548;2982.55;2977.07;81;
199;8.565;2980.97;2977.07;81;
200;8.581;2980.99;2977.07;81;
201;8.597;2984;2977.07;81;
202;8.614;2984;2977.07;81;
203;8.63;2984;2977.07;81;
204;8.646;2984;2977.07;81;
205;8.663;2987.91;2977.07;81;
206;8.68;2987.72;2977.07;81;
207;8.697;2987.72;2977.07;72.9;
208;8.714;2988.58;2977.07;72.9;
209;8.729;2985.57;2977.07;72.9;
210;8.746;2985.57;2977.07;72.9;
211;8.761;2981.67;2977.07;72.9;
212;8.778;2981.67;2977.07;72.9;
213;8.794;2981.67;2977.07;72.9;
214;8.81;2981.82;2977.07;72.9;
215;8.826;2981.1;2977.07;72.9;
216;8.846;2985.5;2977.07;72.9;
217;8.86;2988.51;2977.07;72.9;
218;8.879;2986.42;2977.07;72.9;
219;8.894;2986.27;2977.07;72.9;
220;8.913;2986.27;2977.07;72.9;
221;8.93;2983.26;2977.07;72.9;
222;8.946;3007.43;2977.07;72.9;
223;8.962;3007.45;2977.07;72.9;
224;8.978;3002.42;2977.07;72.9;
225;8.993;3004.79;2977.07;72.9;
226;9.009;3004.97;2977.07;72.9;
227;9.028;3004.97;2977.07;72.9;
228;9.044;3004.97;2977.07;72.9;
229;9.06;3014.19;2977.07;72.9;
230;9.074;3014.19;2977.07;72.9;
231;9.09;2990.01;2977.07;72.9;
232;9.105;2993.45;2977.07;72.9;
233;9.122;2996.49;2977.07;72.9;
234;9.137;2996.49;2977.07;72.9;
235;9.151;2996.49;2977.07;72.9;
236;9.167;2993.45;2977.07;72.9;
237;9.181;2992.58;2977.07;72.9;
238;9.197;2992.58;2977.07;72.9;
239;9.211;2991.4;2977.07;72.9;
240;9.225;2992.27;2977.07;72.9;
241;9.241;2988.83;2977.07;72.9;
242;9.257;2987.41;2977.07;72.9;
243;9.272;2981.14;2977.07;72.9;
244;9.288;2982.43;2977.07;72.9;
245;9.375;2973.22;2973.22;72.9;
246;9.394;2973.77;2973.22;72.9;
247;9.479;2971.01;2971.01;72.9;
248;9.562;2971;2971;72.9;
249;9.65;2966.68;2966.68;72.9;
250;9.744;2966.12;2966.12;72.9;
251;9.765;2966.14;2966.12;72.9;
252;9.782;2969.15;2966.12;72.9;
253;9.798;2973.91;2966.12;72.9;
254;9.813;2973.25;2966.12;72.9;
255;9.837;2974.52;2966.12;72.9;
256;9.857;2980.79;2966.12;72.9;
257;9.879;2979.06;2966.12;72.9;
258;9.901;2986.4;2966.12;72.9;
259;9.916;2982.85;2966.12;72.9;
260;9.937;2982.85;2966.12;72.9;
261;9.952;2982.85;2966.12;72.9;
262;9.971;2986.4;2966.12;72.9;
263;9.99;2986.41;2966.12;72.9;
264;10.007;2986.56;2966.12;72.9;
265;10.026;2986.75;2966.12;72.9;
266;10.049;2990.3;2966.12;72.9;
267;10.065;2984.02;2966.12;72.9;
268;10.079;2984.01;2966.12;72.9;
269;10.101;2991.9;2966.12;72.9;
270;10.116;2991.71;2966.12;72.9;
271;10.131;2991.29;2966.12;65.61;
272;10.151;2991.29;2966.12;65.61;
273;10.166;2983.4;2966.12;65.61;
274;10.187;2985.13;2966.12;65.61;
275;10.208;2981.59;2966.12;65.61;
