i;t;s;bs;
0;0.133;4094.24;inf;
1;0.286;3927.79;4094.24;
2;0.421;3790.02;3927.79;
3;0.567;3662.52;3790.02;
4;0.697;3553.1;3662.52;
5;0.828;3453.93;3553.1;
6;0.971;3339.84;3453.93;
7;1.099;3242.37;3339.84;
8;1.236;3201.37;3242.37;
9;1.38;3126.41;3201.37;
10;1.521;3064.7;3126.41;
11;1.669;3008.78;3064.7;
12;1.815;2981;3008.78;
13;1.961;2956.07;2981;
14;2.094;2939.8;2956.07;
15;2.229;2917.99;2939.8;
16;2.366;2873.15;2917.99;
17;2.502;2850.69;2873.15;
18;2.631;2818.56;2850.69;
19;2.761;2807.06;2818.56;
20;2.9;2797.39;2807.06;
21;3.039;2788.25;2797.39;
22;3.176;2779.68;2788.25;
23;3.316;2773.51;2779.68;
24;3.454;2767.67;2773.51;
25;3.587;2762.19;2767.67;
26;3.722;2756.84;2762.19;
27;3.867;2753.15;2756.84;
28;4.003;2746;2753.15;
29;4.147;2742.88;2746;
30;4.285;2740.1;2742.88;
31;4.426;2737.95;2740.1;
32;4.554;2732.9;2737.95;
33;4.686;2727.86;2732.9;
34;4.815;2721.5;2727.86;
35;4.953;2718.43;2721.5;
36;5.083;2715.74;2718.43;
37;5.223;2713.94;2715.74;
38;5.363;2712.16;2713.94;
39;5.507;2710.49;2712.16;
40;5.644;2709.12;2710.49;
41;5.785;2707.73;2709.12;
42;5.928;2706.44;2707.73;
43;6.069;2705.58;2706.44;
44;6.221;2705.3;2705.58;
45;6.359;2704.88;2705.3;
46;6.493;2704.88;2704.88;
47;6.638;2704.88;2704.88;
48;6.774;2704.88;2704.88;
49;6.901;2704.88;2704.88;
50;7.034;2704.88;2704.88;
51;7.164;2704.88;2704.88;
52;7.302;2704.88;2704.88;
53;7.433;2704.88;2704.88;
54;7.581;2704.88;2704.88;
55;7.728;2704.88;2704.88;
56;7.86;2704.88;2704.88;
57;7.993;2704.88;2704.88;
58;8.127;2704.88;2704.88;
59;8.263;2704.88;2704.88;
60;8.401;2704.88;2704.88;
61;8.532;2704.88;2704.88;
62;8.667;2704.88;2704.88;
63;8.801;2704.88;2704.88;
64;8.933;2704.88;2704.88;
65;9.067;2704.88;2704.88;
66;9.209;2704.88;2704.88;
