i;t;s;bs;
1;0.16;4232.39;inf;
2;0.303;3962.52;4232.39;
3;0.448;3797.56;3962.52;
4;0.595;3660.1;3797.56;
5;0.741;3490.38;3660.1;
6;0.886;3388.55;3490.38;
7;1.027;3293.74;3388.55;
8;1.172;3212.42;3293.74;
9;1.313;3177.12;3212.42;
10;1.465;3116.21;3177.12;
11;1.616;3045.93;3116.21;
12;1.771;2983.87;3045.93;
13;1.916;2938.84;2983.87;
14;2.068;2901.46;2938.84;
15;2.214;2876.65;2901.46;
16;2.367;2855.85;2876.65;
17;2.512;2839.35;2855.85;
18;2.66;2823.17;2839.35;
19;2.804;2814.55;2823.17;
20;2.958;2806.9;2814.55;
21;3.103;2799.82;2806.9;
22;3.245;2793.54;2799.82;
23;3.396;2789.3;2793.54;
24;3.539;2781.22;2789.3;
25;3.678;2765.43;2781.22;
26;3.819;2762.31;2765.43;
27;3.959;2761;2762.31;
28;4.103;2759.79;2761;
29;4.248;2758.67;2759.79;
30;4.406;2757.97;2758.67;
31;4.547;2757.44;2757.97;
32;4.687;2757.19;2757.44;
33;4.834;2756.15;2757.19;
34;4.973;2756.01;2756.15;
35;5.116;2755.56;2756.01;
36;5.258;2755.44;2755.56;
37;5.411;2706.63;2755.44;
38;5.553;2700.12;2706.63;
39;5.706;2694.79;2700.12;
40;5.85;2693.41;2694.79;
41;6.007;2688.9;2693.41;
42;6.151;2685.09;2688.9;
43;6.294;2681.6;2685.09;
44;6.435;2680.58;2681.6;
45;6.577;2680.18;2680.58;
